text,hate label,language label,0.5,0.6,0.7,0.8,0.9
"Sus Binay at Roxas, kahit walang joke na sinabi si Duterte, alam kong ibabash nyo parin sya. Don't me.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"VP Binay, Ikaw na ang sagot sa kahirapan sa bansa #OnlyBinayPriority4Ps",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mga pa-echos mo Binay! Ika'y tumigil!,0,Filipino,Filipino,Filipino,Filipino,n/a,n/a
Ewan ko sayo Binay. Hindi yon dahil sayo na mayaman ang Makati. Dahil yon sa tax ng mga Ayala. ????,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @maxell_lander: Luko-luko ka talaga Abaya! Anong ""sabotage""? - Ikaw at si Mar Roxas at Noy Aquino ang mga nag sabotage sa MRT! https://t…",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Ako lang ba ang may tingin na walang kwenta si binay. Hhaaha,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
#LRT Sorry Bongbong Marcos =( I will NOT vote for you but I will vote for your running mate Miriam Defensor Santiago =) #NeverAgain,0,English,English,English,English,English,n/a
Ma si poe nalang kung ayaw mo si duterte! Wala ka ding ambag eh!,0,Filipino,Filipino,n/a,n/a,n/a,n/a
"""@ANCALERTS: [VIDEO] Why Rep. Binay can never forgive Sen. Trillanes http://t.co/CrCsEvGuGG"" didn't even bother to read why. #diversionary",1,English,English,English,English,English,n/a
"#TV5Aksyon | VP Binay, nanligaw ng mga botante sa cavite. Umaaksyon si @inazara #BilangPilipino #news5aksyon",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Mar Roxas' new commercial is such a big ""Ano ka ngayon Binay"" Nognog pa more. Trapo.",1,English,English,English,English,English,English
"@shekaiiinah hahahah mas sayang boto kapag kay binay, mar napunta hahaha (wag ka magalit kai) hahaha para sakin lang yan",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
RT @PEPalerts: KathNiel leads celebrity gathering for presidential candidate Mar Roxas... https://t.co/L2iMzuLPRY via @SmileForDaniel,0,English,English,English,n/a,n/a,n/a
"Diktador ang dating ni @senmiriam, she who can't be questioned. NO to #Miriam2016. https://t.co/wIxRKePYui https://t.co/V5p0EtimMS",0,English,English,English,English,n/a,n/a
"VP Binay disagrees with Duterte, says death penalty not the solution against criminality | via @jv_arcena",0,English,English,English,English,English,English
Transcript of Mar Roxas' Interview On NAIA Tanim Bala: https://t.co/642pHLxCuC,0,English,English,n/a,n/a,n/a,n/a
Mar Roxas criticised for showing his receipt to the Media https://t.co/Jj4ht25ChG,0,English,English,English,English,English,English
"duterte &amp; miriam talaga ako. kung hindi sila, binay or poe. mar? wag na. ?? #PiliPinasDebates2016",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Jejomar Binay: Narinig niyo na naman ang mga bintang na walang kinahinatnan na ako ay nahatulan. #PiliPinasDebates2016,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""Kahit ano pa ang sabihin nila, ang Makati at Binay ay iisa."" - Abby Binay

Entitled bitches.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
kahit sino na for President.. WAG lang si MAR ROXAS ! :-P,1,Filipino,n/a,n/a,n/a,n/a,n/a
"""Bakit dahil kay Binay....Bakit dahil kay Binay....""
Nognog. Pandak. Magnanakaw!
Gago. Wala kang naloloko dito.",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@jowierivero lets just be honest..we both know leni is the only one that can pull an upset...but for the pres. Its duterte/poe/binay not mar,0,English,English,English,English,n/a,n/a
What a drama queen. Para kang si Binay. #iiyaknayan https://t.co/uy8oU7Jskt,1,Filipino,English,English,English,English,English
Di ako #du30 pero grabe PNoy. HAHAHAHAH ganyan ka pala kababa. #notoroxas #yellowpropaganda  https://t.co/G54fVBaoM4,1,Filipino,n/a,n/a,n/a,n/a,n/a
"If you hate Binay or if you hate Duterte, then hindi niyo talaga na gets yung Debate.",0,English,English,English,English,English,English
Wag kang mag alala roxas ?? pagnanalo si du30 popondohan nya yung business nyong tsinelas ni korina ?? chill kalang,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Only Binay? Karen Davila be like, 'Expound'. #Eleksyon2016",0,English,English,English,English,n/a,n/a
Ginagaya ni Paris yung batang naiyak sa commercial ni Binay! Hahahaha,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"36. Kapag si Binay ay nagronda sa gabi, makikita mo ba siya?",1,Filipino,Filipino,Filipino,Filipino,Filipino,n/a
"3 days straight na exposed sa init, ano napala? Edi eto nognog na kagaya ni binay. Dafuck ??",1,Filipino,n/a,n/a,n/a,n/a,n/a
"Si Binay: nognog, pandak, laki sa hirap.

Si @AerielleArlg: pango, pandak, rak na rak.",1,Filipino,n/a,n/a,n/a,n/a,n/a
#PHVoteRoxas #Roxas #LabanLeni #PHVoteMarLeni #MayoNaRoxasNa #WeAreForMar #RoxasRobredo,0,Filipino,English,English,n/a,n/a,n/a
"@aisaraaap magpakatotoo tayo beh. Kahit corrupt si tatay, Binay pa rin. ??",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
binay pakibigyan nalang sila ng cake,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Front page: Binay's lead narrows, Duterte up in latest BW-SWS survey | Full story at https://t.co/fJMTYQzWZH https://t.co/JhZCCqayLF",0,English,English,English,n/a,n/a,n/a
Humabol si Mar Roxas ;--;,1,Filipino,English,English,English,English,English
"Binay: We need to increase IRA for 4th, 5th class municipalities. We must empower local government units, make them accountable.
#PHvote",0,English,English,English,English,English,English
"Mar Roxas knows Grace Poe's number. Nagpapresscon pa talaga, sana tinawagan niya. Papansin masyado. Drama queen. #disente",1,English,Filipino,Filipino,Filipino,Filipino,Filipino
"My turn. Can you verify this, @interaksyon? Never mind the other 2 baka takot k Poe.#PhVote #HakotPaMore #PHVotePoe https://t.co/3kFHRNJI1s",0,English,English,English,n/a,n/a,n/a
"Meanwhile, Binay and Grace, di pa namin nakakalimutan ang issues against you despite saying #NoToDuterte. #NoToBinay #NoToTraPoe",1,English,English,English,English,English,English
"Sorry na talaga, pero kapag si Binay na hindi ko maiwasan matawa. #PiliPinasDebates2016",0,Filipino,n/a,n/a,n/a,n/a,n/a
"back to politics, mas may pagasa pang manalo si binay kaysa kay roxas",0,Filipino,English,English,English,English,English
...parang gustong palabasin ni Mar Roxas na lahat ng pulitiko ay magnanakaw! #PoliticalAd,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mar Roxas giniit na hindi dapat magpadalus-dalos sa pagtugon sa isyu ng tanim-bala sa NAIA. #aksyonsaumaga https://t.co/hQMQ37GDGd,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Binay gives out candies with his name at Bgy Nine, Balayan, Batangas #VotePH2016 https://t.co/ubHLmAwEM6",0,English,English,English,English,English,n/a
"RT @Asdfghjklstr: ""sus bakit si mar roxas pa"" - mameh hahahahahahahahaha",1,Filipino,n/a,n/a,n/a,n/a,n/a
"@juanmagdaraog Trust ratings of Mar Roxas have gone down, despite all the spin. He ranks a far-away third nationally, trust-ratings wise",0,English,English,English,English,English,n/a
"Yellowtards out there! Is Mar Roxas' action is what you call ""Decent""? #AyawSaDILAW",1,Filipino,English,English,English,English,n/a
"OMG, Mar Roxas already on top #MarRoxax #RodrigoDuterte #PresidentialCandidate #Opinion #ResIpsaLoquitur https://t.co/k2GjoH2vBk",0,English,English,English,n/a,n/a,n/a
Diba Binay vice ka ni PNOY? Edi wala ka din kwenta sa 6 na taon na walang nangyare sa bansa. Kupal ka forevs.,1,Filipino,Filipino,Filipino,Filipino,n/a,n/a
"Ayaw daw kay Duterte kasi baka magka Martial Law at magkagulo lang , so kay Roxas kayo ? Di pa nga nananalo... https://t.co/OcHALi9G3T",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
PH VOTE DUTERTE #DuterteDay https://t.co/0DtlarEB03,1,English,n/a,n/a,n/a,n/a,n/a
@tashelectrify Gaga :)) he conceded yesterday. I think si Binay nalang wala,1,English,English,English,English,English,n/a
@gmanews Tanong ko po kay Binay: Kung siya ang mahalal na Pangulo ano ang kanyang mandatory para patigilin ang korapsiyon?,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Pero nalupet pa rin si binay, hanggang sa dulo lumalaban. Kahit alam niyang talo na siya.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @itsmeashiee: TANGA LANG ANG BOBOTO KAY MAR ROXAS, UULITIN KO, TANGA LANG.",1,Filipino,n/a,n/a,n/a,n/a,n/a
"Sa President naman walang bumoto kay Duterte, Roxas at Binay sa family ko.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Pikon talo. Labanan ni Roxas at Duterte. Hahaha!,1,Filipino,n/a,n/a,n/a,n/a,n/a
Putangina Duterte for president!!!! Sumpain ka MAR ROXAS HAHAHAHAHAHA!,1,Filipino,n/a,n/a,n/a,n/a,n/a
"Mga nagtatanim ng bala, Binay, Napoles, Kayo na pong bahala",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
I dont know what dots is but i laaaffhhdhfhdhdj so hard at Binay as Blackie ???? whyyy ???????????????????? https://t.co/Uqhg66CjRP,1,English,English,English,English,English,n/a
"""@PHVote: Grace Poe, Miriam Defensor Santiago top vice president choices for Mar Roxas – survey http://t.co/RM6efXaGxN #PHVote"" PRES. MIRIAM",0,English,n/a,n/a,n/a,n/a,n/a
Magkano naman ibinayad ni Mar Roxas kay Daniel Padilla para ienderso s'ya? More reasons not to vote for Mar,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Binay: Isang taon na nila akong pinagtutulungan.      #VotePH2016      #PaUnderdogEffect,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Ako lang ba naiinis sa advertisement ni Binay? Nognog daw tayong lahat? *lol, ikaw lang.??????",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Sige, buhat pa ng bangko, Binay. Isa ka pa. Hidhid ka rin. https://t.co/4xAn7LP6l1",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@kylazoleta i'm having an argument with my mother about mar roxas rn.... ??,0,English,English,English,n/a,n/a,n/a
Bsta ah we are not voting for Binay ????,0,Filipino,English,English,English,English,n/a
"Ayan nanaman tayo sa linya ni Binay na ""katulad sa Makati"" PWE",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Before matulog number 1 si duterte, Pag katapos matulog number 1 na si roxas. #Blackmagic",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Appearance of VP Jejomar Binay, Sen. Gringo Honasan and Gov. David Jayjay Suarez during the Distribution of... https://t.co/kMgXyaV1YJ",0,English,English,English,English,English,n/a
RT ABSCBNNews: The Information against VP Binay will be filed after the expiration of his term as Vice President. | via OmbudsmanPh | via A…,0,English,English,English,English,English,English
@acerneil_quinto hahaha. Loko. Parang ganun lang. Sige jan ka na sa Binay mo. Hanapin mo yan pag............,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Mr. MAR ROXAS, kung sakaling maisip mo na mag concede ka na, ""baka"" skaling may matira pang pagmamahal sayo ang taong bayan. #realtalk #du30",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mar Roxas u gotta be fuckin' kiddin' meeee. ????,1,English,English,n/a,n/a,n/a,n/a
"Kanina pa 'yang sasakyan na nagpapatugtog ng  ""Only Binay, only Binay... "" Sa dinami-rami ng pwedeng LSS... haay.

Nakakasira ng weekend ha.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Ako lang ba yung naiinis sa commercial ni Mar Roxas at Binay? ?? plastik masyado.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Kampo ni VP Binay, naghain ng motion for reconsideration kaugnay ng isinamapang kaso ng Ombudsman I via Allan Francisco",0,Filipino,English,English,English,English,English
Hindi ka mananalo Mar Roxas so shut up ka nalang #AyawSaDILAW #SoShutUpNaLangSeries,1,Filipino,English,English,English,English,English
"kunwari wala sa UNA. Aber, si Binay kaya tinawag si Poe na American girl...",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Senator Poe says she is not affected by the ""Am-Girl"" tag given to her by VP Binay | hey_marv",0,English,English,English,English,English,English
Ang sakit lang isipin na mas nauungusan ni Roxas at Binay si MDS ??,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
@teddyboylocsin BSAquino is having panic attacks(#UboPaMore); unity call vs #DU30 just confirmed Poe as 'Manchurian Candidate'; LP jumps gun,1,English,English,English,English,English,n/a
Simula na ng huling debate para sa pagka pangulo. Ipanalo ang gobyernong may puso. #PHVotePOE https://t.co/kwMAl0WxTi,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""Ayaw na natin ng gobyernong manhid."" -Poe #PilipinasDebates2016",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
PHL BUSINESS CONFERENCE Binay lists priorities cut tax rates narrow infra gap lick poverty https://t.co/p5lI3PyJc6 https://t.co/DCNoej82Ej,0,English,English,n/a,n/a,n/a,n/a
Good news! Go VP Binay! #binay2016,0,English,n/a,n/a,n/a,n/a,n/a
Ayoko na panuorin 'tong replay nairita lang ako lalo kay mar roxas puta.,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"dont wanna be a political analyst real quick but nakakahiya ata mga pinag gagawa nila aquino, roxas and trillanes? Gradeschool moves",1,English,English,English,English,English,English
Welcome to BINAY country' tarp at IEC mass yesterday.https://t.co/GjPj18PXpD,0,English,English,English,English,n/a,n/a
BOBO BINAY YES OR NO NGA ??,1,Filipino,n/a,n/a,n/a,n/a,n/a
Bakit dahil kay Binay baka masira tong TV namen....,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Makati Rep. Abi Binay confirms she will run for the Makati mayoralty race. ""It was a last minute party and family decision.""",0,English,English,English,English,English,English
Hanggang sa tvc ba naman sinisiraan si binay.,0,Filipino,Filipino,n/a,n/a,n/a,n/a
@interaksyon They are not doing the Binay' bare hand eating....unhygienic?...they are not smiling also?,1,English,English,English,English,English,English
"#UNTVRepaso2015 Dismissed Makati Mayor Binay, sinampahan ng bagong plunder complaint sa Office of the Ombudsman [18-12-2015] [NY-A1741]",0,English,English,English,English,English,English
.maroxas camp to PPCRV: Apologize #BilangPilipino https://t.co/3LxprrV3Xa,0,English,English,n/a,n/a,n/a,n/a
Real news for today: hundreds of VCM technicians replaced last minute.,1,English,English,English,English,n/a,n/a
"Condonation doctrine na ginamit na depensa noon ni Mayor Binay, ibinasura na ng Korte… https://t.co/XEJptdm0iN https://t.co/bQwAwFBRB8",0,Filipino,English,English,English,English,English
"Fuck Duterte, fuck Binay, and fuck Marcos.",1,English,n/a,n/a,n/a,n/a,n/a
Tangina ni binay talaga ??,1,Filipino,n/a,n/a,n/a,n/a,n/a
Nognog Pandak Puñeta tumigil ka na Binay! ??,1,Filipino,n/a,n/a,n/a,n/a,n/a
Binay: Survey on poverty proof of non-inclusive growth | https://t.co/1tUJ1f33B8,0,english,English,English,n/a,n/a,n/a
"RT senmiriam: I am on the cover of the maiden issue of Gavel &amp; Robe, a magazine about Philippine law and lawyers. … https://t.co/dtWnIZXFOe",0,english,English,English,English,English,n/a
"RT @gracepoekami16: God, please give us leaders that believe in You! #Philippines #GracePoe2016 #GracePoe #MarRoxas #Binay #DaangMatuwid ht…",0,english,English,English,English,English,n/a
"My Uber driver asked me kung sino ang presidente ko. I just answered ""kahit sino, 'wag lang si Binay"" ???? #Halalan2016",0,Filipino,English,English,English,English,English
@rjnaguitskona Nakakalungkot. :( Roxas Binay etc can die anytime though.,1,English,English,n/a,n/a,n/a,n/a
Romualdez cousins supporting Binay in 2016? via @rapplerdotcom https://t.co/6SeohzGJMw,0,English,English,English,n/a,n/a,n/a
Plot twist: Biglang manalo si Mar Roxas ??,0,English,n/a,n/a,n/a,n/a,n/a
RT @twerkitlouis_: NANCY BINAY FOR PRESIDENT PO! LIBRE LAHAT NG CONCERT TICKETS AT MAGKAKARON NA TAO NG NETFLIX!! BOTO NA! BINAY FAMBAM!xx …,0,Filipino,n/a,n/a,n/a,n/a,n/a
uy duterte di ba nag submit ka lang ng candidacy dahil hindi disqualified si poe? psst wala na daw sya oh ha ha ha jk,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mlapit na ang #ELECTION pero undecided prin ako.. Who will be my next President!! Wooh hirap...!!!! Pero ayoko tlga kay Mar at Binay...,0,Filipino,English,English,English,English,English
"Poe, Roxas, Santiago weigh in on controversial Canada trash https://t.co/6pM3uuObxb #PHVote https://t.co/ypk1bhHF76",0,English,English,English,English,n/a,n/a
For continuity. The only all-Filipino tandem. #RoxasRobredo Way drama. Trabaho lang.,0,English,n/a,n/a,n/a,n/a,n/a
DI GUMAGANA UNG MIC NI BINAY HAHAHAHAHAHA #PiliPinasDebates2016,0,Filipino,n/a,n/a,n/a,n/a,n/a
FCKING MAR ROXAS AGAIN ON TV PATROL?!!!!! COME ON ABS-CBN!!!,1,English,n/a,n/a,n/a,n/a,n/a
".@SenGracePOE on Roxas saying it's down to him and Duterte: It's too presumptuous. It's not for elite, a few people to decide who should run",0,English,English,English,English,English,English
Walang magsasawa haaa. team VP binay #OnlyBinayParehoTayo,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT @supsup010: ""ANO ANG PAGKAKAIBA? Mar: Pilit Nagpapaliwanag; Binay: Ayaw Magpaliwanag; Poe: Hindi Makapagpaliwanag; Miriam Santiago; Sana…",1,Filipino,English,English,English,English,English
Abby Binay instructed by BEI to fall in line and wait for her turn to vote. #Halalan2016 https://t.co/nK2HxupaSZ | via @maan_macapagal,0,English,English,English,English,English,n/a
ang daming political ads ni BINAY! NAKAKAIRITA!,1,Filipino,English,English,English,English,English
"natatawa talaga ako dun sa ano ni binay "" bakit kung sino pa yung nognog "" ??????",0,Filipino,Filipino,Filipino,n/a,n/a,n/a
Binay pakisagot po muna yung allegations nyo sa senate before you complain na pinagkakaisahan po kayo. Thanks po.,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
https://t.co/dCvxRlisoq https://t.co/8vTgG4jxns,0,English,English,n/a,n/a,n/a,n/a
Why do I get the feeling Mar Roxas is turning people off ON PURPOSE? #AyawSaDilaw,1,English,English,English,English,English,n/a
Ang plastic ng mga nangangandidato lalo na si binay ????,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"DuRo, Duterte Robredo na? Pero di ko kinaya ang EverBiLeni (Binay-Leni)  
??

#LeniTheRealVP #RecountVP https://t.co/h2tVE7hGJy",0,Filipino,English,English,English,English,English
.@TrillanesSonny: I am 100 percent certain that Binay will not change. He is a lifelong thief and plunderer. #VotePH2016,1,English,English,English,English,English,n/a
"""Walang nakikitang mali si Poe sa anti-duterte ad."" WHAT?! SRSLY POE?!!! roxas to poe ayawsaDILAW",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"@darlinnkeyy all of them but binay were good. Pray &amp; ask for enlightenment. That helps. ;) also, go for someone who delivers not just talks.",0,English,English,English,English,English,English
Binay cries foul over Inquirer report on alleged dummy bank accounts https://t.co/fEUqXelLar https://t.co/fhHu9YrhJB,0,English,English,English,English,n/a,n/a
"Graft, corruption not the same, Binay tells students https://t.co/EAPnFt969N | @inquirervisayas https://t.co/izu8j2Rg2V",0,English,English,n/a,n/a,n/a,n/a
Si Binay ginamit na lahat ng sa tingin nya ay kakaawaan sya para makuha ang simpatya ng tao...,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Sorry but we won't vote for a womanizer/trashtalker/killer.
Still, Go Grace Poe!",1,English,English,English,English,English,n/a
"VICE President Binay  spent P595,713,000 for television electoral adverts in 2015 He said the ad money came from friends &amp; supporters",0,English,English,English,English,English,English
VP Binay expects more black propaganda amid ratings rise. | via @jv_arcena,0,English,English,English,n/a,n/a,n/a
"Reminder lang: may nangongopya kasi.
Walang hugot, walang drama, walang pasiga-siga. Trabaho lang.  Mar Roxas po
https://t.co/hbmVDuvOJU",0,Filipino,English,English,English,English,English
"You are an INC, but you are endorsing Mar Roxas. What would you do @bernardokath ? #MoneyOverFaith or #FaithOverMoney ? #AyawSaDILAW",1,English,English,English,English,English,n/a
B2: Kaya si Roxas o Binay boboto ko eh,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Friday the 13th : Sinabi ko sa mga mamang especially Kay Nancy binay Kung sino crush ko ?????????????? @Betchaaaaaaaaay  #RedenDiary,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Buti na lang, ni-reject ni Grace Poe 'yung ""offer"" ni Mar Roxas. Hahaha. Alam niyang gagamitin lag siya niyon kung sakali eh",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"In fairness. Nagpapaka-Honasan si Cayetano. ""Wag na ko, si Binay na lang."" ""Wag na ko, si Mayor Duterte na lang."" #TheLeaderIWant",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Bobo ka padin mar roxas, hindi ka dapat maging presidente",1,Filipino,n/a,n/a,n/a,n/a,n/a
"""Kung si Vice President Jejomar Binay ang magiging susunod na pangulo, itutuloy daw nya ang laban sa corruption."" (GMA News, 2016) 

ULUL.",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Mar Roxas your call for unity describes one thing! SELFISHNESS! You don't deserve to be the PRESIDENT!!!,1,English,English,English,English,English,n/a
Okay nga si Mar nalang kesa si Binay. O ano? #PSYPagyanig,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"""kaya sa mga nognog, nognog din ang nagmamalasakit.""
tsk3. ayaw ko na kay Binay. hindi pala siya nagmamalasakit saming mga tisoy. nakaka sad",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Pag wala raw naproklamang VP, extended daw si VP Binay. 

#asa ??",1,Filipino,English,English,English,English,English
@riashernandez Agree. Binay at BBM  prez and VP nya? Scary.,1,English,English,n/a,n/a,n/a,n/a
@chiarazambrano Wala. Gusto nyo lang siraan si VP Binay. Hindi ganyan si Idol tsk,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"@LamBretchAtayan pero honestly, naaawa ako kay binay. ?? Kahit hindi ko alam yung story nya. Lol",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
I'm starting to believe that the Binay's did not created a public service. They created a cult instead. #BooForBinays #StupidSupporters,1,English,English,English,English,English,English
Only binay only binay ?? pota LSS,1,English,n/a,n/a,n/a,n/a,n/a
"Rep. Binay: I agree with full transparency but if it becomes a deterrent to efficiency, you'll sacrifice basic services needed by the city.",0,English,English,English,English,English,English
"Kay Binay, pera pera lang yan. Alam nyo na ha. https://t.co/426ZJVETao",1,Filipino,English,English,English,English,English
Would be happier to see Miriam switch places with either Roxas or Binay on the polls. But would be the happiest if she became the president!,0,English,English,English,English,English,English
si binay!!! ???? https://t.co/w8cFMFnbtG,0,Filipino,n/a,n/a,n/a,n/a,n/a
Mar Roxas' ad worth of 700M Pesos. :v,1,English,n/a,n/a,n/a,n/a,n/a
With the vice president Binay ?? http://t.co/MQjYd5Dbnu,1,English,n/a,n/a,n/a,n/a,n/a
Mar Daang Matuwid,0,Filipino,English,English,English,English,English
RT @inquirerdotnet: Mar Roxas proclaimed datu by Lanao sultanate https://t.co/Nyluqomn8H | @Team_Inquirer https://t.co/GUcBGMzvcE,0,English,English,n/a,n/a,n/a,n/a
HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA,0,English and Filipino,n/a,n/a,n/a,n/a,n/a
Honasan belies crowd at Sinulog booed Binay https://t.co/L13Ddi7Q8D https://t.co/w4g2plbdXD,0,English,English,English,n/a,n/a,n/a
"Binay is just wasting his time trying to bring Duterte down. Tsk. Digong, ayaw nalang na tawn siya pansina #PHVoteDuterte",1,English,English,English,English,English,English
"Teacher ko pala si Nancy Binay, kuhang kuha maam!",0,Filipino,English,English,English,English,English
Si Roxas at Binay ung nag dala eh ??????,0,Filipino,English,English,English,English,English
Pati ng yung Report nila Regarding sa Pambabastos daw ng mga Students ng UPLB kay VP Binay. Mali-mali!! Pwe!!  #ABSCBNnomore,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Si Duterte, ala-Hitler; Walang alam si Grace; Binay, kurakot ang isyu | Walong araw matapos ang ikalawang... https://t.co/aUzTsuMeK7",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Nakaiyak talaga ang story ni Binay ??,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Campaign slogan ni PNoy noong nakaraang eleksyon, kinuwestyon ni VP Binay I via Allan Francisco",0,Filipino,English,English,English,English,English
Mar Roxas at Leni Robredo po. https://t.co/Opl48T9g36,0,Filipino,n/a,n/a,n/a,n/a,n/a
sana hindi manalo si Mar Roxas,0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
#ABSCBNIRRESPONSIBLE pwede si Binay naman next week? Or si BBMarcos? para FAIR? Kaya ba natin yan? Ha? :P,1,Filipino,n/a,n/a,n/a,n/a,n/a
bwisit ka roxas! mas bastos ka p kay duterte for pulling grace poe down! #AyawSaDILAW,1,Filipino,English,English,English,English,English
Good friends of Duterte: Poe and Santiago ?? #PiliPinasDebates2016,0,English,n/a,n/a,n/a,n/a,n/a
"Dear Mar Roxas, makaramdam ka naman. Bawat commercial hindi pedeng hindi ipapakita yung tvc mo. Nakakasawa na ho.... https://t.co/XWJ7B7Uj4O",1,Filipino,English,English,English,English,English
"Are u? Not our MAR. He personifies ""BAYAN BAGO SARILI. An attribute that's very MAR. #WalangiwananMar #MarRoxas2016 https://t.co/X4FFsGiUxb",0,English,English,English,English,n/a,n/a
oo na binay ikaw na nognog di naman kami naiinggit sa kulay mo e iyong iyo na!??,1,Filipino,Filipino,Filipino,Filipino,n/a,n/a
Punyetang binay to. May bago na namang commercial punyeta,1,Filipino,English,English,English,English,English
Maki #JJBinay na ako Puro na lang kasi Sandro #BilangPilipino #BBM4VP https://t.co/3FZ2OhTtk4,0,Filipino,n/a,n/a,n/a,n/a,n/a
"It takes a special someone to make Binay look reasonable, classy and a gentleman. Nice job Duterte! Didn't think it was possible...",1,English,English,English,English,English,English
Kwento mo Mar Roxas! May galit talaga ako sa'yo simula nung paglamatay ni Robredo. ??????????,1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"Sa sobrang hindi pagka G ni binay, dinoble pa nila at tinawav syang noGnoG",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"“Arrogance, some might call it. Arrogance and avarice and lust for power.” - Catelyn Stark, describing Lannisters. Or Mar Roxas.",1,English,English,English,English,English,n/a
I'd rather have Mar as president than Binay or Poe. Pls lang ??,1,English,English,English,English,English,English
Dahil nandito si Binay. Wala ng klase. #INIT #haggardface https://t.co/eNQu3pm9iz,1,Filipino,English,English,English,English,English
"Hoy gago, wag ka ng bumoto kung si Binay lang din naman ang Pangulo mo. Charot!",1,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
"RT ANCALERTS: 'Don't cheapen the presidency,' Duterte tells Poe's camp #Halalan2016 https://t.co/sadxacM6gf https://t.co/dvdWRyaxMN",0,English,English,n/a,n/a,n/a,n/a
"Pag manalo si Grace Poe sa eleksyon laya agad sina Jinggoy Estrada at Bong Revilla. Di rin makulong si PNoy, na... https://t.co/PGexmEY106",0,Filipino,Filipino,Filipino,Filipino,Filipino,Filipino
Morales says she has reliable source to prove Binay pressured COA to delay report https://t.co/fEUqXelLar https://t.co/x0CkJTSrUV,0,English,English,English,English,English,English
